# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.000111111   	1.859538e+02	-2.012636e-18	1.119978e+00	5.599889e-01	-2.401423e-01	-9.297689e+01	9.353688e+01	9.241690e+01	-9.297689e+01	9.297689e+01	3.198466e-01	8.001312e-01
0.000242963   	-4.307106e+00	-5.342925e-20	7.474697e-01	3.737348e-01	-7.471997e-02	2.153553e+00	-1.779818e+00	-2.527288e+00	2.153553e+00	-2.153553e+00	2.990149e-01	4.484548e-01
0.000395417   	-1.217354e+01	-1.109020e-20	6.405351e-01	3.202676e-01	1.471844e-01	6.086769e+00	-5.766502e+00	-6.407037e+00	6.086769e+00	-6.086769e+00	4.674519e-01	1.730832e-01
0.000570045   	-2.753730e+00	4.481009e-20	5.293865e-02	2.646933e-02	-2.889604e-02	1.376865e+00	-1.350395e+00	-1.403334e+00	1.376865e+00	-1.376865e+00	-2.426712e-03	5.536536e-02
0.000766503   	-1.449568e+00	-3.020834e-20	-1.145543e-01	-5.727714e-02	-7.223547e-03	7.247841e-01	-7.820612e-01	-6.675069e-01	7.247841e-01	-7.247841e-01	-6.450069e-02	-5.005360e-02
0.000971692   	-1.733595e+00	-1.572644e-20	3.325295e-03	1.662648e-03	-2.511275e-02	8.667977e-01	-8.651350e-01	-8.684603e-01	8.667977e-01	-8.667977e-01	-2.345011e-02	2.677540e-02
0.00117688    	-1.503033e+00	2.354984e-20	-4.381000e-02	-2.190500e-02	3.737793e-03	7.515163e-01	-7.734213e-01	-7.296113e-01	7.515163e-01	-7.515163e-01	-1.816720e-02	-2.564279e-02
0.00137741    	-1.186787e+00	1.220313e-21	-2.820549e-02	-1.410274e-02	-1.477449e-02	5.933934e-01	-6.074962e-01	-5.792907e-01	5.933934e-01	-5.933934e-01	-2.887724e-02	6.717508e-04
0.00157337    	-1.040222e+00	-7.407822e-21	-8.376980e-02	-4.188490e-02	3.349961e-03	5.201108e-01	-5.619957e-01	-4.782259e-01	5.201108e-01	-5.201108e-01	-3.853494e-02	-4.523486e-02
0.00176063    	-9.719145e-01	1.472402e-20	-1.434204e-02	-7.171022e-03	-1.303256e-02	4.859573e-01	-4.931283e-01	-4.787862e-01	4.859573e-01	-4.859573e-01	-2.020358e-02	5.861539e-03
0.00193975    	-8.985442e-01	-1.087269e-20	-1.440365e-02	-7.201824e-03	-1.208527e-02	4.492721e-01	-4.564739e-01	-4.420703e-01	4.492721e-01	-4.492721e-01	-1.928709e-02	4.883443e-03
0.00211497    	-8.218935e-01	-6.344368e-22	-2.677270e-02	-1.338635e-02	-6.100023e-03	4.109468e-01	-4.243331e-01	-3.975604e-01	4.109468e-01	-4.109468e-01	-1.948637e-02	-7.286328e-03
0.00228274    	-7.704193e-01	-1.330315e-20	-2.253177e-02	-1.126588e-02	-6.402466e-03	3.852096e-01	-3.964755e-01	-3.739437e-01	3.852096e-01	-3.852096e-01	-1.766835e-02	-4.863417e-03
0.00244694    	-7.146877e-01	1.927725e-20	-2.034913e-02	-1.017457e-02	-5.606544e-03	3.573438e-01	-3.675184e-01	-3.471693e-01	3.573438e-01	-3.573438e-01	-1.578111e-02	-4.568023e-03
0.00260429    	-6.768425e-01	2.535517e-21	-1.949292e-02	-9.746458e-03	-4.333126e-03	3.384212e-01	-3.481677e-01	-3.286748e-01	3.384212e-01	-3.384212e-01	-1.407958e-02	-5.413332e-03
0.00275837    	-6.337669e-01	-1.075437e-20	-2.053805e-02	-1.026902e-02	-2.854652e-03	3.168834e-01	-3.271525e-01	-3.066144e-01	3.168834e-01	-3.168834e-01	-1.312368e-02	-7.414372e-03
0.00290924    	-5.958996e-01	5.232695e-21	-1.968874e-02	-9.844371e-03	-2.142767e-03	2.979498e-01	-3.077942e-01	-2.881054e-01	2.979498e-01	-2.979498e-01	-1.198714e-02	-7.701604e-03
0.00305395    	-5.709729e-01	1.005871e-20	-1.973636e-02	-9.868182e-03	-1.017589e-03	2.854865e-01	-2.953547e-01	-2.756183e-01	2.854865e-01	-2.854865e-01	-1.088577e-02	-8.850593e-03
